image_id,label,shape_area,shape_perimeter,shape_equiv_diameter,shape_eccentricity,shape_solidity,shape_extent,shape_circularity,shape_aspect_ratio,shape_major_axis,shape_minor_axis,intensity_mean,intensity_std,intensity_min,intensity_max,intensity_median,intensity_skew,intensity_kurt,intensity_p10,intensity_p90,intensity_entropy,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_ASM,glcm_energy,glcm_correlation,lbp_bin0,lbp_bin1,lbp_bin2,lbp_bin3,lbp_bin4,lbp_bin5,lbp_bin6,lbp_bin7,lbp_bin8,lbp_bin9
2,0,20570.0,590.0,161.8349079624118,0.8087013917229309,1.0,1.0,0.742574672615249,1.7000459438665558,215.92591322025248,127.01181047445942,103.32109868740885,43.55089788981089,0.0,255.0,108.0,-0.20321637197940776,-0.7564356691453402,42.0,157.0,7.450852732251072,7.1711053083943,1.9034117220719529,0.4179662431171144,0.0068411961364785254,0.08186204616941761,0.8803731557881274,0.03616917841516772,0.07078269324258629,0.07719980554205153,0.159212445308702,0.21648031113271754,0.16509479824987847,0.09095770539620807,0.06208070004861449,0.045405930967428294,0.0766164316966456
3,1,104013.0,1304.0,363.91408981590484,0.6975530984508963,1.0,1.0,0.7686741989673942,1.3956089513945291,439.93938976484776,315.23113213429076,58.649784161595186,28.171062071070253,0.0,255.0,54.0,0.7276014281218836,0.582973776548565,27.0,98.0,6.780823838206569,2.565083888303593,0.9935342508334298,0.6075234783074043,0.022381120785588276,0.1485257624466636,0.894899623874706,0.03716843086921827,0.06987588089950295,0.06834722582754078,0.14396277388403372,0.19995577475892437,0.1559997308028804,0.0952573236037803,0.07091421264649611,0.06196340842010133,0.09655523828752176
4,0,20710.0,594.0,162.38470054615743,0.8190879142187042,1.0,1.0,0.7375934865585667,1.7431684840073156,219.39006358538666,125.85706178041819,91.73800096571705,31.42014964370836,25.0,212.0,87.0,0.44551538859128426,-0.47778422347256955,54.0,136.0,6.950065976477745,4.261034754364548,1.304394946490526,0.5552031903958156,0.01625876879879142,0.1256361154543935,0.8627210065998396,0.028923225494929986,0.06784162240463544,0.05939159826170932,0.1373732496378561,0.27865765330758085,0.14978271366489618,0.0809270883631096,0.0680830516658619,0.051859005311443745,0.07716079188797682
5,0,13024.0,468.0,128.77372337022317,0.8040440178451153,1.0,1.0,0.7472441873101299,1.6818883872227601,170.89177862027185,101.6070863670443,72.37315724815724,37.665957973105954,0.0,255.0,61.0,1.6693931063162741,2.9119652304415915,38.0,125.0,6.89405155653973,10.82456268790605,1.857358504031804,0.5164104090483745,0.022628197302852853,0.14853761359881354,0.7577866548788175,0.027487714987714986,0.07301904176904177,0.056587837837837836,0.13252457002457002,0.28892813267813267,0.15041461916461915,0.07478501228501229,0.06703009828009827,0.05152027027027027,0.0777027027027027
6,1,40765.0,832.0,227.82363802101156,0.8078810281998153,1.0,1.0,0.7400322700373747,1.696797241605749,303.6840463376369,178.97485856957675,65.45286397645039,34.25850626513053,8.0,226.0,63.0,0.7524179721880052,0.952707213506403,23.0,111.0,7.01294690318611,4.086186555270748,1.124808029069933,0.5991454836057386,0.018506368303093833,0.134680013893046,0.8808700427535647,0.02605176008831105,0.054532074083159576,0.05467925916840427,0.15621243713970318,0.26054213173065127,0.177554274500184,0.08642217588617687,0.056298295106095915,0.05490003679627131,0.07280755550104256
7,1,35476.0,750.0,212.5310473531447,0.3836771062070438,1.0,1.0,0.7925414469600107,1.082875361073031,226.3183598385248,208.9976076418101,110.50995038899538,35.54733888209666,19.0,255.0,104.0,0.8511400699339207,0.5403948931412508,69.0,160.0,7.0813927990836465,4.865394509391216,1.3586484232874292,0.5539497939095854,0.017058847635927573,0.12894632660192984,0.8771471041083296,0.025171947231931446,0.06959634682602323,0.06032247153004849,0.14460480324726577,0.26330476942158076,0.15652835719923328,0.0860581801781486,0.07010373210057504,0.05214793099560266,0.07216146126959071
8,0,82984.0,1158.0,325.05155034286906,0.6364244744298636,1.0,1.0,0.7776552532819535,1.2964467895811318,378.7400163700688,292.1369541841634,72.210088691796,49.16922697136857,0.0,242.0,69.0,0.3343863816542045,-0.5476799319698973,3.0,138.0,7.41767719632753,8.325559481731151,1.6442830704530642,0.5070148420780325,0.016863023016345173,0.1294106030034014,0.8883468737091766,0.037730164851055625,0.06865178829653909,0.06886869758025643,0.14520871493299914,0.19210932227899355,0.14643786754073074,0.08041309168032391,0.06377132941289887,0.11068398727465535,0.08612503615154729
9,0,19488.0,568.0,157.52108508958048,0.7653089379052455,1.0,1.0,0.7590676159635723,1.553607699106641,200.91457554559517,129.3213052826177,109.0639367816092,42.9013553370551,16.0,255.0,103.0,0.7194964271584264,0.21286417253777667,56.0,168.0,7.349152955471556,7.649619986888266,1.5661889962277358,0.5430655740940241,0.014161983265248751,0.11739293958538244,0.8681362681687739,0.018626847290640396,0.054238505747126436,0.054187192118226604,0.14244663382594416,0.31886288998357964,0.17651888341543515,0.08010057471264367,0.050492610837438424,0.04284688013136289,0.06167898193760263
10,0,49950.0,962.0,252.18706402097902,0.8928054547170873,1.0,1.0,0.6782584491198178,2.220039324722808,384.5135454917897,173.2012317123255,47.07053053053053,52.061012278078465,0.0,225.0,28.0,0.8708358822659901,-0.4426875102646384,0.0,131.0,6.667988207463361,3.8682612855200795,1.105331301599969,0.6473978721116228,0.12887055620577276,0.3587402483866492,0.9519580839075951,0.015495495495495495,0.04138138138138138,0.0382982982982983,0.12386386386386386,0.2605805805805806,0.12862862862862862,0.044624624624624624,0.026546546546546545,0.2772772772772773,0.0433033033033033
11,1,91924.0,1218.0,342.112951976734,0.6241068689935472,1.0,1.0,0.7786534308540695,1.27985421666785,396.06060142357,309.45758998609165,88.63130412079543,63.199973182234935,0.0,246.0,73.0,0.7991363383968161,-0.41857995083996924,17.0,199.0,7.617988287168421,5.951330654694155,1.6220311369990652,0.47828875872855,0.011045367967758303,0.10464770579529747,0.9520655324979299,0.04282885862234019,0.07204864888386057,0.0732779252425917,0.14036595448413908,0.18284669944736956,0.1475022844958879,0.08665854401462077,0.07592141334145598,0.08231800182759672,0.0962316696401375
